@relation 'selecteddata2-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,18'

@attribute ecage26 numeric
@attribute ecsex99 {1,2}
@attribute marst26 {1,2,3,4,5,6}
@attribute mjacg26 {1,2,3,4}
@attribute immst15 {1,2,7}
@attribute pvreg25 {10,11,12,13,24,35,46,47,48,59}
@attribute dwtenr25 {1,2}
@attribute mortg25 {1,2}
@attribute multj28 {1,2}
@attribute alhrp28 numeric
@attribute mtlswk28 numeric
@attribute yrxfte11 numeric
@attribute clwkr1 {1,2,3,4,5,6}
@attribute prmjb1 {1,2,8,9}
@attribute fllprt1 {1,2,9}
@attribute nocg2e6 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,99}
@attribute imphwe1 numeric
@attribute uncoll1 {1,2,3}
@attribute n07c3g10 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,99}
@attribute pubpv10 {1,2,9}
@attribute cqpc42 numeric
@attribute rppc42 numeric
@attribute udpd42 numeric
@attribute wgsal42 numeric
@attribute hleveg18 {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute penpln1 {1,2}

@data
61,2,1,1,7,10,1,1,2,1955,999,39,1,1,1,17,19.34,1,12,2,1650,2700,600,39000,5,1
43,2,6,1,7,10,1,1,2,2086,999,22,1,1,1,5,12.48,3,10,2,1200,0,0,28000,9,2
58,1,1,1,7,10,1,1,2,293,999,19.331132,6,9,1,6,999.99,3,2,2,2200,0,0,57500,5,2
54,2,1,1,7,48,1,1,2,2294,999,37,1,1,1,17,17,3,13,2,1950,0,0,44000,9,2
58,1,1,1,7,48,1,1,2,2086,999,37,1,1,1,6,34.56,3,2,2,2300,0,0,92500,1,1
60,1,1,1,7,10,1,1,2,1832,999,35,1,1,1,20,18,3,15,2,0,0,0,28000,3,1
31,2,6,1,7,10,1,2,2,2086,999,3,1,1,1,4,16.5,3,9,2,1600,0,0,34000,9,2
48,1,1,1,7,10,1,1,2,1952,999,19.331132,1,1,1,20,21,3,15,2,2100,750,0,43000,9,1
40,2,1,1,7,10,1,1,2,2086,999,23,1,1,1,10,26.88,1,11,1,2300,6250,900,62500,11,1
44,1,1,1,7,10,1,1,2,2086,999,22,1,1,1,17,16.5,1,5,2,2000,0,600,43000,6,2
46,2,6,1,7,10,1,1,2,1955,999,19,1,1,1,4,12.67,3,8,2,1500,0,0,33000,9,1
56,2,1,1,7,10,1,1,2,1955,999,34,1,1,1,7,38.06,1,12,1,2100,5250,1300,80000,11,1
55,1,1,1,7,10,1,1,2,1700,999,35,1,2,1,19,18,3,4,2,650,0,0,17500,10,2
24,1,6,1,7,10,1,1,2,1221,999,1,1,1,1,22,16,3,4,2,125,0,0,7000,5,2
59,1,1,1,7,10,1,2,2,1825,999,42,3,9,1,2,999.99,3,6,2,1900,0,0,42000,6,2
63,2,1,1,7,10,1,2,2,1564,999,29,1,1,1,13,11.36,3,6,2,0,0,0,42000,4,2
52,2,1,1,7,10,1,1,2,1825,999,32,1,1,1,10,38.95,1,11,1,2200,6250,650,82500,11,1
54,2,1,1,7,10,1,1,1,1219,999,13,1,1,2,8,23.85,1,12,2,1300,1400,725,31000,9,1
49,1,1,1,7,10,1,1,2,1955,999,31,1,1,1,5,39.94,1,16,1,2100,6500,100,82500,9,1
66,1,6,1,7,10,1,2,2,417,999,19.331132,1,2,1,6,27,1,16,1,0,575,400,28000,9,1
53,1,1,1,7,10,1,1,2,2086,999,35,1,1,1,20,31.2,1,16,1,2200,4800,800,67500,9,1
50,2,1,1,7,10,1,1,2,1825,999,34,1,1,1,12,41.14,3,8,2,2100,0,0,87500,9,1
40,2,1,1,7,10,1,1,2,777,999,8,1,1,2,16,17.8,1,11,1,525,925,225,16000,12,1
42,1,1,1,7,10,1,1,2,2147,999,17,6,9,1,17,999.99,3,15,2,725,0,0,8250,9,2
57,1,1,1,7,10,1,1,1,2227,999,36,1,1,2,5,16.8,3,10,2,2300,625,300,60000,9,2
51,2,1,1,7,10,1,1,2,2086,999,12,1,9,1,5,19.58,3,10,2,1750,2800,625,38000,9,2
43,2,4,1,7,10,1,1,2,2086,999,26,1,1,1,13,18.61,3,6,2,2300,0,225,57500,10,2
23,1,6,1,7,10,1,1,2,1772,999,1,1,1,1,21,14,1,6,2,2100,425,100,48000,5,2
48,2,4,1,7,10,1,1,2,1048,999,25,1,1,1,2,16,3,6,2,775,0,0,18500,9,2
30,2,1,1,7,10,1,1,2,2080,999,7,1,2,1,5,23,1,16,1,1950,300,650,45000,6,1
65,1,1,1,7,10,1,2,2,1212,0,15,1,1,1,20,47,1,4,2,0,0,1300,125000,9,2
38,1,2,1,7,10,1,1,2,2086,999,11,1,1,1,20,21.12,3,4,2,2000,0,0,43000,9,2
37,2,2,1,7,10,1,1,1,1911,999,13,1,1,1,6,26.88,3,8,2,2300,1500,0,55000,9,1
18,1,6,1,7,10,1,1,2,1043,999,1,1,1,1,17,10.25,3,14,2,50,0,0,6250,6,2
50,2,1,1,7,10,1,1,2,2086,999,30,1,1,1,5,27.32,3,6,1,2200,4100,0,55000,9,1
53,1,1,1,7,10,1,1,2,1825,999,33,1,1,1,9,41.14,1,16,1,2300,5750,625,75000,12,1
