@relation selecteddata2_post1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R4

@attribute ecage26 numeric
@attribute ecsex99 {1,2}
@attribute marst26 {1,2,3,4,5,6}
@attribute pvreg25 {10,11,12,13,24,35,46,47,48,59}
@attribute dwtenr25 {1,2}
@attribute mortg25 {1,2}
@attribute multj28 {1,2}
@attribute alhrp28 numeric
@attribute yrxfte11 numeric
@attribute clwkr1 {1,2,3,4,5,6}
@attribute prmjb1 {1,2,8,9}
@attribute fllprt1 {1,2,9}
@attribute nocg2e6 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,99}
@attribute imphwe1 numeric
@attribute uncoll1 {1,2,3}
@attribute n07c3g10 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,99}
@attribute pubpv10 {1,2,9}
@attribute cqpc42 numeric
@attribute rppc42 numeric
@attribute udpd42 numeric
@attribute wgsal42 numeric
@attribute hleveg18 {1,2,3,4,5,6,7,8,9,10,11,12}

@data
26,1,6,48,1,1,2,2294,19.331132,1,1,1,15,34.04,3,16,1,2200,4900,0,85000,8
50,2,1,10,1,1,2,2086,22,1,1,1,8,20.19,1,12,1,1850,1950,600,40000,9
50,1,1,10,1,2,1,2781,19.331132,1,2,1,15,24.43,3,10,2,1900,3500,0,43000,9
42,2,1,10,1,2,2,2086,19.331132,1,1,1,2,33.69,1,11,1,2300,7000,825,72500,11
56,1,1,10,1,2,2,2086,37,1,1,1,2,56.82,2,11,1,2200,4100,0,105000,12
42,2,1,10,1,1,2,1955,10,1,1,1,17,17.59,1,12,1,1700,2400,550,38000,9
50,1,1,10,1,2,2,1955,19.331132,1,1,1,17,20,1,12,1,1650,2000,600,38000,8
37,2,2,10,2,1,2,2086,19.331132,1,1,1,17,10.87,3,14,2,400,0,0,11500,5
62,1,1,10,1,2,2,1043,43,1,1,1,22,48,1,7,1,2300,3100,950,55000,4
47,1,1,10,1,2,2,2086,19.331132,1,1,1,22,23,1,99,1,2100,2600,825,47000,9
53,1,1,10,1,2,2,2086,26,1,1,1,20,24.3,1,99,1,2200,5100,0,82500,9
49,2,1,10,1,2,2,1825,27,1,1,1,2,39,3,12,1,2200,6000,0,82500,9
23,1,6,10,1,2,2,1955,2,1,2,1,5,13.95,2,16,1,725,0,0,18000,7
53,1,2,10,1,2,2,1304,28,1,1,2,99,54.53,1,11,1,2200,6500,925,70000,11
53,1,2,10,1,2,2,2086,3,1,1,1,17,18.62,1,11,1,1900,2900,625,42000,4
64,1,1,10,1,2,2,1955,19.331132,1,1,1,2,30.72,1,13,1,2200,5500,675,62500,6
39,2,4,10,1,1,1,5200,19,1,1,1,2,11,3,12,2,1450,1350,500,33000,6
46,2,1,10,1,1,2,652,19.331132,1,1,1,6,17.64,1,16,1,1750,1800,400,40000,7
50,1,1,10,1,1,2,1955,19.331132,1,1,1,2,28.16,2,6,2,2200,3900,0,55000,8
57,2,1,10,1,2,2,1955,30,1,1,1,5,20,1,12,1,1950,2800,650,42000,9
45,2,3,48,2,1,2,1564,23,1,9,1,16,24,1,11,1,1000,0,0,23000,4
35,2,2,10,1,1,2,2086,13,1,9,1,2,16.8,3,6,2,1400,2000,0,29000,9
45,2,1,10,2,1,1,2346,16,1,9,1,4,20,1,12,1,1750,2700,600,37000,9
39,1,1,10,2,1,2,2086,0,1,9,1,99,12.5,3,5,2,600,0,0,16000,7
44,1,1,10,1,1,2,695,25,1,9,1,22,26.16,1,4,2,1650,0,50,37000,9
42,2,1,10,1,1,2,1405,10,1,9,1,13,17,1,6,1,2000,3000,875,45000,9
63,1,1,10,1,2,2,2086,44,1,1,1,20,30,1,13,2,2100,1700,1050,67500,9
31,2,1,10,1,1,2,1825,8,1,1,1,6,42.69,3,12,1,2200,5750,450,82500,11
32,1,1,10,1,1,2,1955,10,1,1,1,7,39,1,12,1,2100,6250,1350,87500,11
38,1,2,10,1,1,2,1730,14,1,9,1,2,22.02,3,12,2,1600,0,0,38000,11
50,2,1,10,1,2,2,1955,34,1,1,1,4,43,3,12,1,2100,7250,450,100000,11
49,1,1,10,1,2,1,2086,31,1,1,1,9,51.57,1,11,1,2100,13500,1150,92500,12
50,1,1,35,2,1,2,1344.26572,29,1,1,1,5,33,1,2,2,150,0,450,7000,9
53,2,1,10,1,1,2,1825,32,1,1,1,3,30.47,1,16,1,2200,3800,600,55000,9
35,2,1,10,1,2,2,1955,13,1,1,1,9,26,1,12,1,2100,8250,950,67500,12
38,1,1,10,1,2,2,2190,14,1,1,1,6,54.86,1,7,2,2200,10000,1350,140000,9
59,1,4,10,1,2,2,1955,36,1,1,1,11,30.46,1,16,1,2200,4200,1050,87500,9
51,1,1,10,1,2,2,2190,30,1,1,1,2,30,2,6,2,2200,2600,0,95000,8
22,1,6,10,1,2,2,2086,5,1,1,1,15,31,1,16,1,2200,1250,600,67500,9
20,1,6,10,1,2,2,1217,3,1,2,1,15,21,1,16,1,1000,725,275,23000,9
52,1,1,10,1,1,2,2086,19.331132,1,1,1,11,35.04,1,16,1,2100,2500,925,70000,7
54,2,1,10,1,1,2,2086,19.331132,1,1,1,5,19.2,3,16,1,2100,3200,0,52500,9
25,2,6,10,1,1,2,1825,19.331132,1,2,1,9,17,3,12,2,1750,450,0,38000,8
55,1,1,10,1,1,2,1955,33,1,1,1,2,56.32,3,3,1,2100,7750,0,110000,9
49,2,1,10,1,1,2,1955,29,1,1,1,3,31.23,3,8,2,2300,2500,0,57500,8
32,1,1,10,1,1,2,2086,9,1,1,1,6,23.04,3,7,2,2300,925,0,47000,9
41,1,1,10,1,1,2,2072,22,1,1,1,13,15,3,6,2,1550,0,0,34000,9
51,1,3,10,1,1,2,2086,30,1,1,1,2,15.75,2,6,2,2300,0,0,102500,6
55,1,1,10,2,1,2,2086,39,1,1,1,21,22.5,1,7,1,0,0,750,50000,3
39,2,1,35,2,1,2,2086,14,1,1,1,5,28.31,3,16,1,2200,6500,0,60000,9
39,1,1,10,1,1,2,1955,15,1,1,1,6,32,1,7,2,2300,2500,0,70000,11
43,2,1,10,1,1,2,2086,18,1,1,1,9,28.8,1,11,1,2200,6250,0,62500,12
58,1,1,10,1,2,2,2086,34,1,9,1,17,10,1,11,1,2200,875,0,46000,4
55,2,1,10,1,2,2,1142,36,1,1,1,9,39.5,1,12,1,2300,4000,1300,60000,11
47,1,3,10,1,1,2,2086,25,1,1,1,13,12.3,1,6,2,1350,825,0,31000,4
65,1,1,10,1,2,2,2086,48,1,1,1,20,33.09,3,2,2,0,0,0,100000,9
57,2,1,10,1,2,2,1955,23,1,1,1,8,23.55,1,12,1,2200,3200,875,48000,10
43,2,2,10,1,2,2,1461,5,1,1,1,14,19,1,12,1,1250,2600,550,29000,9
54,2,1,10,1,2,2,1825,24,1,1,1,4,21.65,1,11,1,2000,2900,625,43000,9
19,2,6,10,1,2,2,2086,2,1,9,1,8,21,1,12,2,1900,0,0,42000,6
66,1,1,10,1,2,2,1825,45,1,1,1,5,17.28,3,16,1,0,2700,0,50000,6
43,1,1,10,1,1,2,2086,22,1,1,1,21,23.52,1,6,2,2300,0,475,62500,5
36,2,1,10,1,1,2,1955,9,1,1,1,7,35.84,1,12,1,2100,5500,1300,75000,11
49,2,1,10,1,2,2,586,0,1,2,2,17,13.57,1,12,1,400,525,200,11500,6
20,2,6,10,2,1,2,1639,2,1,1,1,13,10,3,6,2,150,0,0,7750,8
37,2,2,48,2,1,2,1825,7,1,1,1,17,22,1,11,1,2300,0,550,50000,9
35,2,1,10,1,1,2,1564,12,1,9,1,7,35,1,12,1,2200,6500,875,65000,11
63,1,1,10,1,1,2,1304,36,1,1,2,17,18.54,1,11,1,0,1700,400,25000,6
58,2,1,10,1,1,2,2086,26,1,1,1,17,16.61,1,11,1,1900,2700,600,40000,4
43,2,1,10,1,1,2,2086,21,1,1,1,10,34.56,1,11,1,2300,7000,925,77500,12
41,1,1,10,1,1,2,2086,22,1,1,1,12,19.12,1,6,2,2100,3300,575,55000,9
52,1,1,10,1,2,2,2086,36,1,9,1,17,16.9,1,11,1,1400,1350,0,31000,6
39,2,4,10,1,1,1,2741,18,1,1,1,4,21.39,1,16,1,1900,2800,625,40000,9
52,2,1,10,1,2,2,1202,15,1,1,1,16,19.45,1,11,1,1050,1750,450,26000,9
60,2,1,10,1,1,2,2086,29,1,1,1,5,14.88,3,8,2,0,0,0,30000,9
43,1,1,10,1,1,2,1955,24,1,1,1,2,41.98,3,13,2,2300,3600,0,80000,6
43,2,1,10,1,1,2,1564,14,1,1,1,10,45.76,1,11,1,2100,7000,875,67500,12
28,2,1,10,1,1,2,2086,8,1,1,1,8,20.4,1,12,1,1750,1900,450,41000,9
29,2,6,10,2,1,2,1980,7,1,1,2,8,18.66,1,12,1,475,650,125,13500,9
48,1,6,10,1,2,2,2086,22,1,1,1,17,10,1,6,2,950,175,0,24000,9
47,2,1,10,1,1,1,1981,19.331132,1,1,1,2,20,3,6,2,2100,350,600,46000,8
50,1,1,10,1,2,2,2040,24,1,1,1,20,30,1,2,2,2200,3000,1050,120000,6
51,1,1,10,1,1,2,2086,34,1,2,1,99,44.16,3,2,2,2300,3400,0,120000,9
23,1,1,10,1,1,2,2190,4,1,1,1,23,30.51,1,2,2,2400,3000,1100,85000,7
64,1,6,10,1,2,2,2086,46,1,1,1,6,33.5,1,2,2,2100,0,1200,85000,8
52,1,1,10,1,2,2,2242,34,1,1,1,99,35.72,1,2,2,2200,3100,1150,102500,6
40,2,1,10,2,1,2,1825,12,1,1,1,14,11.5,3,14,2,975,0,0,23000,5
30,2,1,10,1,1,2,1787,3,1,1,1,8,23.7,1,12,1,1850,4800,850,44000,9
34,1,1,10,1,1,2,782,12,1,2,1,99,21.5,1,12,1,150,275,775,7250,9
51,2,6,10,1,1,2,1955,30,1,2,1,17,21.2,1,12,1,1750,1900,650,40000,9
46,2,1,10,1,1,2,1825,10,1,1,1,10,25.71,1,11,1,2100,6250,800,67500,11
45,1,1,10,1,1,2,2086,26,1,1,1,21,19.25,1,7,1,2200,2300,475,47000,9
57,2,4,11,2,1,2,1955,5,1,1,1,8,23.81,1,12,1,2000,325,750,47000,9
